採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/12/4 上午 07:55:00,1034,1.0,15.6,16.1,7.1,100,9.8,10.0,101.5,2.0,<4.0,3.2,7500,0.04,--,0.029,1.51,0.37,0.003,<0.001,<0.003,<0.002,0.0004,<0.0003,<0.001,0.017,0.018,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/11/5 上午 07:55:00,1034,1.0,23.6,20.5,7.4,103,9.0,9.3,103.1,<1.0,<4.0,3.2,15000,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/10/10 上午 06:55:00,1034,1.0,23.1,21.5,7.2,93,8.5,8.8,99.8,<1.0,<4.0,2.0,22000,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/9/2 上午 08:55:00,1034,1.5,28.5,28.1,7.4,160,7.4,7.5,96.7,<1.0,<4.0,21.6,25000,0.09,--,0.096,1.72,0.37,0.012,<0.001,0.004,<0.002,0.0009,<0.0003,0.003,0.022,0.045,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/8/15 上午 08:00:00,1034,1.0,29.5,26.8,7.4,108,8.3,8.6,106.7,<1.0,4.0,3.8,7600,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/7/3 上午 07:55:00,1034,1.5,25.8,26.4,7.2,148,7.1,7.3,91.3,3.5,12.2,8.2,51000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/6/2 上午 07:25:00,1034,1.0,28.2,24.5,7.5,143,7.4,7.8,94.1,3.0,8.7,4.3,34000,0.04,--,0.143,2.44,0.28,0.023,<0.001,<0.003,<0.002,0.0015,<0.0003,0.003,0.020,0.050,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/5/6 上午 07:25:00,1034,1.0,22.2,21.2,7.6,109,9.0,9.2,104.1,<1.0,<4.0,2.4,6800,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/4/3 上午 07:25:00,1034,1.0,16.8,16.1,7.4,103,9.9,10.1,102.1,<1.0,<4.0,2.7,55000,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/3/5 上午 07:25:00,1034,1.0,20.2,18.5,7.9,98,9.0,9.3,99.5,<1.0,<4.0,5.3,32000,0.06,--,0.023,0.98,0.40,0.004,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.021,0.063,0.002,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/2/4 上午 07:25:00,1034,1.0,15.1,17.8,7.1,97,9.0,9.3,97.9,1.0,6.6,9.2,18000,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2009/1/6 上午 07:25:00,1034,1.5,14.8,18.1,7.1,84,9.6,9.8,103.0,1.1,7.5,23.3,12000,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/12/4 上午 08:45:00,1035,1.5,16.2,16.6,7.3,122,9.6,9.8,100.1,<1.0,<4.0,24.1,8000,0.05,--,0.071,1.10,0.80,0.006,<0.001,0.009,<0.002,0.0004,<0.0003,0.004,0.100,0.030,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/11/5 上午 08:45:00,1035,1.0,24.5,21.8,7.1,128,9.7,10.1,114.2,<1.0,<4.0,11.4,20000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/10/10 上午 07:45:00,1035,1.0,23.4,21.9,7.0,121,8.3,8.4,95.9,1.1,8.1,4.2,3500,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/9/2 上午 09:45:00,1035,1.5,29.1,30.3,7.6,185,8.6,8.8,117.9,<1.0,9.7,22.8,3500,0.03,--,0.069,1.43,0.35,0.011,<0.001,0.004,<0.002,0.0019,<0.0003,0.003,0.024,0.060,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/8/15 上午 08:50:00,1035,1.0,30.1,27.8,7.2,125,8.6,8.6,109.0,<1.0,<4.0,4.1,3800,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/7/3 上午 08:45:00,1035,1.0,27.1,27.0,7.1,174,7.0,7.0,89.0,1.1,9.2,9.4,<10,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/6/2 上午 08:15:00,1035,1.0,28.3,25.3,7.4,152,9.7,9.7,119.0,1.3,6.5,5.7,<10,0.02,--,0.016,1.65,0.20,0.002,<0.001,<0.003,<0.002,0.0011,<0.0003,0.001,0.015,0.050,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/5/6 上午 08:15:00,1035,1.0,24.8,21.6,7.3,178,9.1,9.3,105.5,<1.0,<4.0,13.9,2200,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/4/3 上午 08:15:00,1035,1.0,17.2,16.3,7.3,128,9.8,10.0,100.7,<1.0,5.6,3.7,7700,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/3/5 上午 08:15:00,1035,1.0,21.1,19.0,7.4,104,9.0,9.2,98.9,<1.0,<4.0,7.2,6100,0.02,--,0.036,0.85,0.49,0.008,<0.001,<0.003,<0.002,0.0003,<0.0003,0.001,0.021,0.016,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/2/4 上午 08:15:00,1035,1.0,16.0,18.9,7.0,118,8.6,9.0,96.5,1.0,7.0,3.4,8200,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2009/1/6 上午 08:15:00,1035,2.3,14.6,18.1,7.0,73,9.5,9.7,102.6,1.1,9.8,78.5,20000,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/12/1 下午 02:35:00,1292,1.0,20.1,19.3,7.1,174,9.9,10.0,107.4,<1.0,<4.0,1.6,140,<0.01,--,0.029,0.77,0.46,0.006,<0.001,<0.003,<0.002,0.0006,<0.0003,<0.001,0.013,<0.005,<0.001,<0.001,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/11/2 下午 02:35:00,1292,1.0,25.2,20.5,7.6,158,9.2,9.1,99.4,<1.0,<4.0,3.4,440,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/10/16 下午 02:35:00,1292,1.0,25.2,22.2,7.5,150,8.7,8.8,101.6,<1.0,6.3,11.0,400,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/9/8 下午 02:30:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/8/4 下午 02:40:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/7/7 下午 02:44:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/6/3 下午 02:26:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/5/4 下午 02:35:00,1292,1.0,25.0,19.6,8.4,170,9.9,9.8,107.1,<1.0,4.9,<1.0,190,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/4/6 下午 02:39:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/3/2 下午 02:21:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
