採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/12/4 上午 08:55:00,1034,1,15.2,17.8,7.2,98,--,9.3,97.4,<1.0,4.3,2.4,27000,0.1,--,0.043,--,0.36,--,<0.001,0.007,<0.002,<0.0003,<0.0003,0.002,0.009,0.016,<0.001,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/11/6 上午 07:55:00,1034,1,20.8,19,7.6,97,--,9.5,102.6,<1.0,<4.0,2.3,5700,0.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/10/9 上午 07:55:00,1034,1,24,22.5,7.6,118,--,8.1,95,1,4.8,2.6,18000,0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/9/3 上午 07:55:00,1034,1,29.4,27.8,7.6,134,--,7.1,91.4,1.2,10,2.7,2700,0.32,--,0.087,--,0.25,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.002,0.008,0.027,<0.001,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/8/6 上午 07:55:00,1034,1,33,28.3,7.9,104,--,8.7,112.9,<1.0,5.8,2.2,16000,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/7/2 上午 07:55:00,1034,1.5,31.3,26.8,7.8,106,--,8.6,107.9,3.8,10.4,<1.0,13000,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/6/9 上午 08:25:00,1034,1,26.9,23.2,7.3,68,--,9.3,109.8,1.1,5.1,3.9,6900,0.29,--,0.039,--,0.45,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.012,0.006,<0.001,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/5/6 上午 09:00:00,1034,1,19.7,18.1,7.3,92,--,9.6,101.8,1.2,5.4,8.8,46000,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
雙溪流域,雙溪,新北市,新寮大橋,甲,2014/4/8 上午 08:55:00,1034,1,26.8,20.1,7.4,111,--,9.8,109.1,1.2,<4.0,3.2,41000,0.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
